Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;GASOLINA;12/09/2024;7,19;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;GASOLINA ADITIVADA;12/09/2024;7,24;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;ETANOL;12/09/2024;4,79;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;GASOLINA;10/09/2024;7,17;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;GASOLINA ADITIVADA;10/09/2024;7,22;;R$ / litro;VIBRA
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;ETANOL;10/09/2024;4,96;;R$ / litro;VIBRA
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;GASOLINA;12/09/2024;7,14;;R$ / litro;VIBRA
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;GASOLINA ADITIVADA;12/09/2024;7,19;;R$ / litro;VIBRA
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;ETANOL;12/09/2024;4,99;;R$ / litro;VIBRA
NE;AL;ARAPIRACA;AUTO POSTO M M GARROTE LTDA; 08.738.994/0001-50;RODOVIA AL-220;5848;KM    96;BOM SUCESSO;57309-035;GASOLINA;09/09/2024;5,99;;R$ / litro;VIBRA
